-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
decoder.pppoe             | AFPacketeth310            | 0
decoder.gre               | AFPacketeth310            | 74
decoder.vlan              | AFPacketeth310            | 0
decoder.teredo            | AFPacketeth310            | 44017
decoder.ipv4_in_ipv6      | AFPacketeth310            | 0
decoder.ipv6_in_ipv6      | AFPacketeth310            | 0
decoder.avg_pkt_size      | AFPacketeth310            | 834
decoder.max_pkt_size      | AFPacketeth310            | 1514
defrag.ipv4.fragments     | AFPacketeth310            | 5189
defrag.ipv4.reassembled   | AFPacketeth310            | 1118
defrag.ipv4.timeouts      | AFPacketeth310            | 0
defrag.ipv6.fragments     | AFPacketeth310            | 349
defrag.ipv6.reassembled   | AFPacketeth310            | 108
defrag.ipv6.timeouts      | AFPacketeth310            | 0
defrag.max_frag_hits      | AFPacketeth310            | 0
tcp.sessions              | AFPacketeth310            | 15966
tcp.ssn_memcap_drop       | AFPacketeth310            | 0
tcp.pseudo                | AFPacketeth310            | 250
tcp.invalid_checksum      | AFPacketeth310            | 0
tcp.no_flow               | AFPacketeth310            | 0
tcp.reused_ssn            | AFPacketeth310            | 1
tcp.memuse                | AFPacketeth310            | 42414816
tcp.syn                   | AFPacketeth310            | 13619
tcp.synack                | AFPacketeth310            | 4819
tcp.rst                   | AFPacketeth310            | 3113
tcp.segment_memcap_drop   | AFPacketeth310            | 118963
tcp.stream_depth_reached  | AFPacketeth310            | 0
tcp.reassembly_memuse     | AFPacketeth310            | 17179886925
tcp.reassembly_gap        | AFPacketeth310            | 85
detect.alert              | AFPacketeth310            | 17
capture.kernel_packets    | AFPacketeth311            | 1861181
capture.kernel_drops      | AFPacketeth311            | 361038
decoder.pkts              | AFPacketeth311            | 1200080
decoder.bytes             | AFPacketeth311            | 971425227
decoder.ipv4              | AFPacketeth311            | 1201842
decoder.ipv6              | AFPacketeth311            | 64593
decoder.ethernet          | AFPacketeth311            | 1200080
decoder.raw               | AFPacketeth311            | 0
decoder.sll               | AFPacketeth311            | 0
decoder.tcp               | AFPacketeth311            | 500547
decoder.udp               | AFPacketeth311            | 742986
decoder.sctp              | AFPacketeth311            | 0
decoder.icmpv4            | AFPacketeth311            | 4891
decoder.icmpv6            | AFPacketeth311            | 1650
decoder.ppp               | AFPacketeth311            | 771
decoder.pppoe             | AFPacketeth311            | 0
decoder.gre               | AFPacketeth311            | 877
decoder.vlan              | AFPacketeth311            | 0
decoder.teredo            | AFPacketeth311            | 62564
decoder.ipv4_in_ipv6      | AFPacketeth311            | 0
decoder.ipv6_in_ipv6      | AFPacketeth311            | 0
decoder.avg_pkt_size      | AFPacketeth311            | 809
decoder.max_pkt_size      | AFPacketeth311            | 1514
defrag.ipv4.fragments     | AFPacketeth311            | 6908
defrag.ipv4.reassembled   | AFPacketeth311            | 1324
defrag.ipv4.timeouts      | AFPacketeth311            | 0
defrag.ipv6.fragments     | AFPacketeth311            | 2912
defrag.ipv6.reassembled   | AFPacketeth311            | 709
defrag.ipv6.timeouts      | AFPacketeth311            | 0
defrag.max_frag_hits      | AFPacketeth311            | 0
tcp.sessions              | AFPacketeth311            | 21558
tcp.ssn_memcap_drop       | AFPacketeth311            | 0
tcp.pseudo                | AFPacketeth311            | 340
tcp.invalid_checksum      | AFPacketeth311            | 0
tcp.no_flow               | AFPacketeth311            | 0
tcp.reused_ssn            | AFPacketeth311            | 5
tcp.memuse                | AFPacketeth311            | 47299632
tcp.syn                   | AFPacketeth311            | 17418
tcp.synack                | AFPacketeth311            | 6179
tcp.rst                   | AFPacketeth311            | 4305
tcp.segment_memcap_drop   | AFPacketeth311            | 182102
tcp.stream_depth_reached  | AFPacketeth311            | 0
tcp.reassembly_memuse     | AFPacketeth311            | 17179919069
tcp.reassembly_gap        | AFPacketeth311            | 76
detect.alert              | AFPacketeth311            | 20
capture.kernel_packets    | AFPacketeth312            | 1837258
capture.kernel_drops      | AFPacketeth312            | 337180
decoder.pkts              | AFPacketeth312            | 1200080
decoder.bytes             | AFPacketeth312            | 993061333
decoder.ipv4              | AFPacketeth312            | 1202431
decoder.ipv6              | AFPacketeth312            | 45934
decoder.ethernet          | AFPacketeth312            | 1200080
decoder.raw               | AFPacketeth312            | 0
decoder.sll               | AFPacketeth312            | 0
decoder.tcp               | AFPacketeth312            | 523429
decoder.udp               | AFPacketeth312            | 693820
decoder.sctp              | AFPacketeth312            | 0
decoder.icmpv4            | AFPacketeth312            | 5025
decoder.icmpv6            | AFPacketeth312            | 1405
decoder.ppp               | AFPacketeth312            | 78
decoder.pppoe             | AFPacketeth312            | 0
decoder.gre               | AFPacketeth312            | 224
decoder.vlan              | AFPacketeth312            | 0
decoder.teredo            | AFPacketeth312            | 44775
decoder.ipv4_in_ipv6      | AFPacketeth312            | 0
decoder.ipv6_in_ipv6      | AFPacketeth312            | 0
decoder.avg_pkt_size      | AFPacketeth312            | 827
decoder.max_pkt_size      | AFPacketeth312            | 1514
defrag.ipv4.fragments     | AFPacketeth312            | 18641
defrag.ipv4.reassembled   | AFPacketeth312            | 2403
defrag.ipv4.timeouts      | AFPacketeth312            | 0
defrag.ipv6.fragments     | AFPacketeth312            | 1071
defrag.ipv6.reassembled   | AFPacketeth312            | 276
defrag.ipv6.timeouts      | AFPacketeth312            | 0
defrag.max_frag_hits      | AFPacketeth312            | 0
tcp.sessions              | AFPacketeth312            | 21769
tcp.ssn_memcap_drop       | AFPacketeth312            | 0
